event_id,start_time,end_time,duration_hours,peak_time,peak_wl,peak_exceedance,pre_event_wl,peak_q,q_peak_time
0,2003-09-18 23:00:00+00:00,2003-09-19 07:00:00+00:00,9.0,2003-09-19 04:00:00+00:00,1.307,0.607,-0.1375,169.334464,2003-09-19 07:00:00+00:00
1,2006-09-01 18:00:00+00:00,2006-09-01 19:00:00+00:00,2.0,2006-09-01 19:00:00+00:00,0.728,0.028000000000000025,-0.031,114.895416,2006-09-01 19:00:00+00:00
2,2011-08-27 20:00:00+00:00,2011-08-28 08:00:00+00:00,13.0,2011-08-28 04:00:00+00:00,1.973,1.2730000000000001,-0.194,141.796376,2011-08-28 08:00:00+00:00
3,2012-10-29 11:00:00+00:00,2012-10-30 12:00:00+00:00,26.0,2012-10-30 00:00:00+00:00,0.936,0.2360000000000001,-0.0375,21.7968568,2012-10-29 12:00:00+00:00
4,2014-07-04 09:00:00+00:00,2014-07-04 12:00:00+00:00,4.0,2014-07-04 10:00:00+00:00,1.035,0.33499999999999996,-0.0395,31.644024,2014-07-04 12:00:00+00:00
5,2016-10-09 06:00:00+00:00,2016-10-09 06:00:00+00:00,1.0,2016-10-09 06:00:00+00:00,0.723,0.02300000000000002,0.169,229.649248,2016-10-09 06:00:00+00:00
6,2017-04-06 22:00:00+00:00,2017-04-06 22:00:00+00:00,1.0,2017-04-06 22:00:00+00:00,0.704,0.0040000000000000036,0.053000000000000005,92.100392,2017-04-04 22:00:00+00:00
7,2017-05-26 00:00:00+00:00,2017-05-26 00:00:00+00:00,1.0,2017-05-26 00:00:00+00:00,0.722,0.02200000000000002,0.2235,74.473184,2017-05-26 00:00:00+00:00
8,2018-10-12 01:00:00+00:00,2018-10-12 07:00:00+00:00,7.0,2018-10-12 04:00:00+00:00,1.287,0.587,0.209,68.809824,2018-10-12 05:00:00+00:00
9,2019-09-06 20:00:00+00:00,2019-09-06 22:00:00+00:00,3.0,2019-09-06 21:00:00+00:00,0.943,0.243,0.048,94.082568,2019-09-06 19:00:00+00:00
10,2020-02-07 16:00:00+00:00,2020-02-07 19:00:00+00:00,4.0,2020-02-07 18:00:00+00:00,0.853,0.15300000000000002,0.066,152.061216,2020-02-07 19:00:00+00:00
11,2020-08-04 11:00:00+00:00,2020-08-04 13:00:00+00:00,3.0,2020-08-04 11:00:00+00:00,0.729,0.029000000000000026,0.0885,29.6476896,2020-08-04 13:00:00+00:00
12,2021-10-29 22:00:00+00:00,2021-10-30 00:00:00+00:00,3.0,2021-10-29 22:00:00+00:00,0.731,0.031000000000000028,0.1635,20.140324,2021-10-29 20:00:00+00:00
13,2022-12-23 19:00:00+00:00,2022-12-23 20:00:00+00:00,2.0,2022-12-23 20:00:00+00:00,0.744,0.04400000000000004,0.149,77.446448,2022-12-21 19:00:00+00:00
14,2023-09-23 18:00:00+00:00,2023-09-23 23:00:00+00:00,6.0,2023-09-23 20:00:00+00:00,0.758,0.05800000000000005,-0.055,90.542968,2023-09-23 23:00:00+00:00
