event_id,start_time,end_time,duration_hours,peak_time,peak_wl,peak_exceedance,pre_event_wl,peak_q,q_peak_time
0,1996-09-06 07:00:00+00:00,1996-09-06 09:00:00+00:00,3.0,1996-09-06 08:00:00+00:00,0.707,0.1469999999999999,-0.39849999999999997,297.3264,1996-09-06 09:00:00+00:00
1,1996-10-08 12:00:00+00:00,1996-10-08 14:00:00+00:00,3.0,1996-10-08 13:00:00+00:00,0.76,0.19999999999999996,-0.34850000000000003,268.160096,1996-10-06 12:00:00+00:00
2,1999-09-16 08:00:00+00:00,1999-09-16 08:00:00+00:00,1.0,1999-09-16 08:00:00+00:00,0.784,0.22399999999999998,-0.247,516.7816,1999-09-16 08:00:00+00:00
3,1999-09-23 00:00:00+00:00,1999-09-23 01:00:00+00:00,2.0,1999-09-23 00:00:00+00:00,0.576,0.015999999999999903,-0.128,1111.4344,1999-09-21 01:00:00+00:00
4,1999-09-24 01:00:00+00:00,1999-09-24 02:00:00+00:00,2.0,1999-09-24 01:00:00+00:00,0.672,0.11199999999999999,0.006999999999999999,1027.19192,1999-09-22 01:00:00+00:00
5,1999-09-25 02:00:00+00:00,1999-09-25 02:00:00+00:00,1.0,1999-09-25 02:00:00+00:00,0.586,0.025999999999999912,0.0595,891.9792,1999-09-23 02:00:00+00:00
6,2008-09-06 09:00:00+00:00,2008-09-06 10:00:00+00:00,2.0,2008-09-06 10:00:00+00:00,0.595,0.03499999999999992,-0.40249999999999997,139.8142,2008-09-04 09:00:00+00:00
7,2015-10-03 19:00:00+00:00,2015-10-03 19:00:00+00:00,1.0,2015-10-03 19:00:00+00:00,0.594,0.03399999999999992,-0.25,324.93528,2015-10-03 19:00:00+00:00
8,2015-10-04 19:00:00+00:00,2015-10-04 21:00:00+00:00,3.0,2015-10-04 20:00:00+00:00,0.657,0.09699999999999998,-0.107,444.57376,2015-10-04 21:00:00+00:00
9,2015-10-05 21:00:00+00:00,2015-10-05 21:00:00+00:00,1.0,2015-10-05 21:00:00+00:00,0.582,0.02199999999999991,-0.0345,518.90536,2015-10-05 21:00:00+00:00
10,2015-10-06 21:00:00+00:00,2015-10-06 22:00:00+00:00,2.0,2015-10-06 22:00:00+00:00,0.602,0.041999999999999926,-0.006500000000000002,553.59344,2015-10-06 22:00:00+00:00
11,2015-10-07 23:00:00+00:00,2015-10-07 23:00:00+00:00,1.0,2015-10-07 23:00:00+00:00,0.562,0.0020000000000000018,0.0155,555.7172,2015-10-07 01:00:00+00:00
12,2015-10-28 15:00:00+00:00,2015-10-28 15:00:00+00:00,1.0,2015-10-28 15:00:00+00:00,0.588,0.027999999999999914,-0.378,54.793008,2015-10-27 02:00:00+00:00
13,2016-01-10 15:00:00+00:00,2016-01-10 15:00:00+00:00,1.0,2016-01-10 15:00:00+00:00,0.578,0.017999999999999905,-0.261,505.45488,2016-01-08 15:00:00+00:00
14,2016-02-09 15:00:00+00:00,2016-02-09 16:00:00+00:00,2.0,2016-02-09 15:00:00+00:00,0.585,0.02499999999999991,-0.3285,542.97464,2016-02-08 04:00:00+00:00
15,2016-10-08 17:00:00+00:00,2016-10-08 22:00:00+00:00,6.0,2016-10-08 20:00:00+00:00,1.071,0.5109999999999999,-0.055499999999999994,438.9104,2016-10-08 22:00:00+00:00
16,2016-10-12 23:00:00+00:00,2016-10-12 23:00:00+00:00,1.0,2016-10-12 23:00:00+00:00,0.584,0.02399999999999991,-0.1015,1868.9088,2016-10-12 23:00:00+00:00
